                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                0.83011,                0.54031,                0.97449,                0.92688,                0.74931,                0.83153,                0.52222,                 1.2819,                0.75144,                 1.0922,              0.0010001,              0.0010001,              0.0010001
                    104,                0.80108,                0.52777,                0.96124,                0.89682,                0.75369,                0.85827,                 0.5435,                 1.2691,                 0.7158,                 1.0872,              0.0009902,              0.0009902,              0.0009902
                    105,                0.80193,                0.50934,                0.95332,                0.85864,                0.77799,                0.85137,                0.54708,                 1.2602,                 0.6893,                 1.0751,              0.0009803,              0.0009803,              0.0009803
                    106,                0.78205,                0.50515,                0.96512,                0.93394,                0.74384,                0.85377,                0.53928,                 1.2829,                0.69508,                 1.0913,              0.0009704,              0.0009704,              0.0009704
                    107,                0.78562,                0.50342,                0.96311,                0.92609,                0.73892,                0.85083,                 0.5453,                 1.2602,                0.71124,                 1.0833,              0.0009605,              0.0009605,              0.0009605
                    108,                0.78435,                0.50685,                0.96011,                0.89403,                0.76355,                0.85217,                0.53449,                 1.2995,                0.73151,                 1.0922,              0.0009506,              0.0009506,              0.0009506
                    109,                0.78358,                 0.5044,                0.95527,                0.91668,                0.75873,                0.85034,                0.54467,                 1.2691,                0.70184,                 1.0926,              0.0009407,              0.0009407,              0.0009407
                    110,                0.80718,                0.51955,                0.97433,                0.90369,                 0.7734,                0.85266,                0.52888,                 1.2975,                0.73201,                 1.1012,              0.0009308,              0.0009308,              0.0009308
                    111,                0.76026,                 0.4823,                0.94576,                0.89204,                0.73269,                0.83245,                 0.5183,                 1.3428,                0.71679,                 1.1186,              0.0009209,              0.0009209,              0.0009209
                    112,                0.81911,                 0.5149,                0.94734,                0.93126,                0.74877,                0.85672,                0.54677,                 1.2562,                0.70971,                 1.0877,               0.000911,               0.000911,               0.000911
                    113,                0.81361,                0.49949,                0.95007,                0.93219,                0.73892,                0.85533,                0.53322,                 1.3048,                0.72805,                  1.097,              0.0009011,              0.0009011,              0.0009011
                    114,                0.75282,                0.47953,                 0.9475,                0.88074,                0.75862,                0.85307,                0.53197,                 1.2978,                0.71028,                 1.0957,              0.0008912,              0.0008912,              0.0008912
                    115,                0.76752,                0.48475,                 0.9351,                0.94803,                0.76847,                0.86478,                0.53416,                 1.2995,                 0.6917,                 1.1072,              0.0008813,              0.0008813,              0.0008813
                    116,                0.77907,                0.50026,                 0.9569,                0.92704,                0.72906,                0.86264,                   0.54,                 1.2766,                0.69244,                 1.0988,              0.0008714,              0.0008714,              0.0008714
                    117,                0.74307,                0.49837,                0.95322,                0.92523,                0.73151,                0.85906,                0.55112,                 1.2882,                0.68238,                 1.0955,              0.0008615,              0.0008615,              0.0008615
                    118,                0.81238,                0.51049,                0.94148,                0.92766,                  0.758,                0.86944,                0.53872,                 1.2986,                0.67627,                 1.1049,              0.0008516,              0.0008516,              0.0008516
                    119,                0.77314,                0.47939,                 0.9452,                0.91381,                0.78342,                0.87793,                 0.5456,                 1.2894,                0.67576,                 1.0955,              0.0008417,              0.0008417,              0.0008417
                    120,                0.81705,                0.52334,                0.95883,                0.91726,                0.77833,                0.85191,                0.53194,                 1.2902,                0.70457,                 1.0902,              0.0008318,              0.0008318,              0.0008318
                    121,                0.78631,                0.50702,                0.96031,                 0.9271,                0.75174,                 0.8581,                0.54307,                 1.2646,                0.69443,                 1.0887,              0.0008219,              0.0008219,              0.0008219
                    122,                0.73377,                0.48691,                0.95496,                0.90278,                0.75369,                0.85525,                0.53171,                 1.3103,                0.71278,                 1.0977,               0.000812,               0.000812,               0.000812
                    123,                  0.698,                  0.459,                0.94863,                0.89846,                0.74877,                0.85993,                0.52727,                 1.2913,                0.72191,                 1.0971,              0.0008021,              0.0008021,              0.0008021
                    124,                0.74909,                0.48838,                0.95223,                 0.9407,                0.74384,                0.85257,                0.53818,                 1.2732,                0.70785,                 1.0898,              0.0007922,              0.0007922,              0.0007922
                    125,                0.81698,                0.50044,                0.95055,                0.93409,                0.76794,                0.86946,                0.55089,                 1.2675,                  0.715,                 1.0832,              0.0007823,              0.0007823,              0.0007823
                    126,                0.77963,                0.49789,                0.94328,                0.92263,                0.76355,                0.86568,                0.55229,                 1.2599,                0.70566,                 1.0911,              0.0007724,              0.0007724,              0.0007724
                    127,                0.77866,                 0.4894,                0.94931,                0.91538,                0.74604,                0.86076,                0.54575,                 1.2801,                0.71815,                 1.0764,              0.0007625,              0.0007625,              0.0007625
                    128,                0.72377,                0.47195,                0.94927,                0.90837,                0.75862,                0.87279,                0.53797,                 1.2895,                 0.6912,                 1.0711,              0.0007526,              0.0007526,              0.0007526
                    129,                0.76414,                0.48438,                0.95857,                0.85842,                 0.8363,                0.87374,                0.54324,                 1.2881,                0.70918,                 1.0803,              0.0007427,              0.0007427,              0.0007427
                    130,                 0.7808,                0.49474,                0.94318,                0.88354,                0.78485,                0.86098,                0.52725,                 1.2974,                0.70049,                  1.089,              0.0007328,              0.0007328,              0.0007328
                    131,                0.73786,                0.48348,                0.95012,                 0.9489,                0.78818,                0.89466,                0.55465,                 1.2859,                0.67999,                 1.0813,              0.0007229,              0.0007229,              0.0007229
                    132,                0.72177,                0.46397,                0.93317,                 0.9016,                 0.7734,                0.87163,                 0.5372,                  1.293,                0.71358,                 1.0861,               0.000713,               0.000713,               0.000713
                    133,                0.78234,                0.48149,                0.93174,                0.93178,                0.75862,                 0.8646,                0.53468,                 1.3202,                0.73108,                 1.0948,              0.0007031,              0.0007031,              0.0007031
                    134,                0.77143,                0.49488,                0.94662,                0.96237,                0.75589,                 0.8752,                0.54347,                 1.3207,                0.68022,                 1.0955,              0.0006932,              0.0006932,              0.0006932
                    135,                0.72606,                0.46625,                0.94829,                0.95635,                0.75559,                0.86442,                0.53554,                 1.3093,                0.68863,                 1.0945,              0.0006833,              0.0006833,              0.0006833
                    136,                 0.7334,                0.46207,                0.93128,                0.93359,                0.76176,                0.87335,                0.54366,                 1.2968,                0.68518,                 1.0844,              0.0006734,              0.0006734,              0.0006734
                    137,                0.73062,                0.48173,                0.94607,                0.86967,                0.78818,                0.87122,                0.54794,                 1.2773,                0.68264,                 1.0848,              0.0006635,              0.0006635,              0.0006635
                    138,                0.76534,                0.48097,                0.93542,                0.89263,                0.77812,                0.86715,                0.54151,                 1.3092,                0.69626,                  1.098,              0.0006536,              0.0006536,              0.0006536
                    139,                0.73847,                0.47295,                0.95194,                0.92277,                0.76518,                0.85571,                0.52645,                 1.3473,                0.69129,                 1.1109,              0.0006437,              0.0006437,              0.0006437
                    140,                0.71991,                0.47271,                0.94903,                0.93512,                0.78105,                0.85561,                0.53004,                 1.2794,                0.70709,                 1.0818,              0.0006338,              0.0006338,              0.0006338
                    141,                0.76375,                0.49067,                0.94876,                0.89688,                0.81403,                0.86126,                0.54637,                 1.2593,                 0.6833,                 1.0701,              0.0006239,              0.0006239,              0.0006239
                    142,                0.71919,                0.46794,                0.94407,                  0.954,                0.74877,                0.87329,                0.54855,                 1.2869,                0.69015,                 1.0913,               0.000614,               0.000614,               0.000614
                    143,                0.77446,                0.47461,                0.92583,                0.94539,                0.76752,                0.87387,                0.56075,                 1.2574,                0.68131,                 1.0925,              0.0006041,              0.0006041,              0.0006041
                    144,                0.70144,                0.45161,                0.93824,                0.94753,                0.76847,                0.87484,                 0.5443,                 1.2836,                0.68221,                 1.0916,              0.0005942,              0.0005942,              0.0005942
                    145,                0.72256,                0.44609,                0.93145,                0.95682,                0.76414,                0.87242,                0.54807,                 1.3008,                0.65471,                    1.1,              0.0005843,              0.0005843,              0.0005843
                    146,                0.67898,                0.44519,                0.93557,                0.90414,                 0.7734,                0.85882,                0.53781,                 1.2994,                0.66281,                 1.1051,              0.0005744,              0.0005744,              0.0005744
                    147,                0.70913,                0.44853,                0.92688,                0.95239,                0.80788,                0.87439,                0.55813,                 1.2587,                0.67496,                 1.0816,              0.0005645,              0.0005645,              0.0005645
                    148,                0.70845,                0.45033,                 0.9272,                 0.9031,                0.80788,                0.87227,                0.55149,                 1.2527,                0.67921,                 1.0807,              0.0005546,              0.0005546,              0.0005546
                    149,                0.72767,                0.46049,                0.93079,                0.95668,                 0.7615,                 0.8638,                0.52839,                 1.2878,                0.68717,                 1.0874,              0.0005447,              0.0005447,              0.0005447
                    150,                0.72915,                0.45896,                0.92157,                0.91648,                0.79803,                0.88082,                0.55589,                 1.2733,                0.66209,                 1.0821,              0.0005348,              0.0005348,              0.0005348
                    151,                0.74565,                0.46511,                0.93445,                0.91631,                0.80901,                0.88397,                0.55636,                 1.2719,                 0.6785,                 1.0936,              0.0005249,              0.0005249,              0.0005249
